frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
732,593,[765.0217 395.5435 926.3261 547.6739],[820.2993 490.1573 874.971 518.734],0,0,0
733,593,[765.2609 396.5217 926.913 549.087],[820.6138 491.4231 875.4484 520.0298],0,0,0
734,593,[765.5 397.5 927.5 550.5],[820.9282 492.689 875.9257 521.3256],0,0,0
735,593,[765.7391 398.4783 928.087 551.913],[821.2427 493.9548 876.4031 522.6213],0,0,0
736,593,[765.9783 399.4565 928.6739 553.3261],[821.5572 495.2207 876.8804 523.9171],0,0,0
737,593,[766.2174 400.4348 929.2609 554.7391],[821.8716 496.4865 877.3578 525.2129],0,0,0
738,593,[766.4565 401.413 929.8478 556.1522],[822.1861 497.7524 877.8352 526.5087],0,0,0
739,593,[766.6957 402.3913 930.4348 557.5652],[822.5006 499.0182 878.3125 527.8045],0,0,0
740,593,[766.9348 403.3696 931.0217 558.9783],[822.815 500.2841 878.7899 529.1003],0,0,0
741,593,[767.1739 404.3478 931.6087 560.3913],[823.1295 501.5499 879.2672 530.3961],0,0,0
742,593,[767.413 405.3261 932.1957 561.8043],[823.444 502.8158 879.7446 531.6919],0,0,0
743,593,[767.6522 406.3043 932.7826 563.2174],[823.7584 504.0816 880.222 532.9876],0,0,0
744,593,[767.8913 407.2826 933.3696 564.6304],[824.0729 505.3475 880.6993 534.2834],0,0,0
745,593,[768.1304 408.2609 933.9565 566.0435],[824.3874 506.6134 881.1767 535.5792],0,0,0
746,593,[768.3696 409.2391 934.5435 567.4565],[824.7019 507.8792 881.6541 536.875],0,0,0
747,593,[768.6087 410.2174 935.1304 568.8696],[825.0163 509.1451 882.1314 538.1708],0,0,0
748,593,[768.8478 411.1957 935.7174 570.2826],[825.3308 510.4109 882.6088 539.4666],0,0,0
749,593,[769.087 412.1739 936.3043 571.6957],[825.6453 511.6768 883.0861 540.7624],0,0,0
750,593,[769.3261 413.1522 936.8913 573.1087],[825.9597 512.9426 883.5635 542.0582],0,0,0
751,593,[769.5652 414.1304 937.4783 574.5217],[826.2742 514.2085 884.0409 543.3539],0,0,0
752,593,[769.8043 415.1087 938.0652 575.9348],[826.5887 515.4743 884.5182 544.6497],0,0,0
753,593,[770.0435 416.087 938.6522 577.3478],[826.9031 516.7402 884.9956 545.9455],0,0,0
754,593,[770.2826 417.0652 939.2391 578.7609],[827.2176 518.006 885.4729 547.2413],0,0,0
755,593,[770.5217 418.0435 939.8261 580.1739],[827.5321 519.2719 885.9503 548.5371],0,0,0
756,593,[770.7609 419.0217 940.413 581.587],[827.8465 520.5377 886.4277 549.8329],0,0,0
757,593,[771.0 420.0 941.0 583.0],[828.161 521.8036 886.905 551.1287],0.558976948261261,GJ06EPO,0.07248006406046148
758,593,[771.0 421.2667 941.5333 584.4],[828.5671 523.3139 887.206 552.6621],0,0,0
759,593,[771.0 422.5333 942.0667 585.8],[828.9732 524.8241 887.5069 554.1955],0,0,0
760,593,[771.0 423.8 942.6 587.2],[829.3792 526.3344 887.8079 555.729],0,0,0
761,593,[771.0 425.0667 943.1333 588.6],[829.7853 527.8446 888.1088 557.2624],0,0,0
762,593,[771.0 426.3333 943.6667 590.0],[830.1914 529.3549 888.4098 558.7958],0,0,0
763,593,[771.0 427.6 944.2 591.4],[830.5974 530.8652 888.7107 560.3292],0,0,0
764,593,[771.0 428.8667 944.7333 592.8],[831.0035 532.3754 889.0117 561.8627],0,0,0
765,593,[771.0 430.1333 945.2667 594.2],[831.4096 533.8857 889.3126 563.3961],0,0,0
766,593,[771.0 431.4 945.8 595.6],[831.8156 535.3959 889.6136 564.9295],0,0,0
767,593,[771.0 432.6667 946.3333 597.0],[832.2217 536.9062 889.9146 566.463],0,0,0
768,593,[771.0 433.9333 946.8667 598.4],[832.6278 538.4165 890.2155 567.9964],0,0,0
769,593,[771.0 435.2 947.4 599.8],[833.0339 539.9267 890.5165 569.5298],0,0,0
770,593,[771.0 436.4667 947.9333 601.2],[833.4399 541.437 890.8174 571.0633],0,0,0
771,593,[771.0 437.7333 948.4667 602.6],[833.846 542.9473 891.1184 572.5967],0,0,0
772,593,[771.0 439.0 949.0 604.0],[834.2521 544.4575 891.4193 574.1301],0.6516294479370117,IJ06EPO,0.04232774474343736
773,593,[771.1 440.5 949.4 606.1],[834.5543 546.1144 891.705 575.7226],0,0,0
774,593,[771.2 442.0 949.8 608.2],[834.8566 547.7712 891.9907 577.3151],0,0,0
775,593,[771.3 443.5 950.2 610.3],[835.1588 549.4281 892.2764 578.9076],0,0,0
776,593,[771.4 445.0 950.6 612.4],[835.4611 551.0849 892.5621 580.5001],0,0,0
777,593,[771.5 446.5 951.0 614.5],[835.7633 552.7418 892.8478 582.0926],0,0,0
778,593,[771.6 448.0 951.4 616.6],[836.0656 554.3986 893.1335 583.6851],0,0,0
779,593,[771.7 449.5 951.8 618.7],[836.3678 556.0555 893.4193 585.2776],0,0,0
780,593,[771.8 451.0 952.2 620.8],[836.67 557.7124 893.705 586.8701],0,0,0
781,593,[771.9 452.5 952.6 622.9],[836.9723 559.3692 893.9907 588.4626],0,0,0
782,593,[772.0 454.0 953.0 625.0],[837.2745 561.0261 894.2764 590.0551],0.6388111114501953,GJ06EFD,0.06638555529781673
